Genome ID,Antibiotic Ciprofloxacin,Measurement Value Ciprofloxacin,Resistance Phenotype Ciprofloxacin,Antibiotic Gentamicin,Measurement Value Gentamicin,Resistance Phenotype Gentamicin,Antibiotic Meropenem,Measurement Value Meropenem,Resistance Phenotype Meropenem
72407.2825,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2502,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66456,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.67685,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65935,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,8.0,Resistant
72407.2605,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2653,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.6609,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2821,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2928,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2829,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65976,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2435,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66213,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.25,Susceptible
574.102,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65992,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.246,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2741,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2544,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2379,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.6626,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
574.75,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2651,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66037,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66535,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
574.119,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65939,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2852,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2295,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2382,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66552,ciprofloxacin,4.0,Resistant,gentamicin,2.0,Susceptible,meropenem,16.0,Resistant
72407.2945,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2213,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2743,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66259,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2293,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2838,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2823,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2296,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66305,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.65951,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2679,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66481,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,0.25,Susceptible
573.66008,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66381,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2738,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2197,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66244,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66483,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2173,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.55251,ciprofloxacin,16.0,Resistant,gentamicin,32.0,Resistant,meropenem,16.0,Resistant
573.65966,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2499,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2319,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2214,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.245,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2363,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,8.0,Resistant
573.66027,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,1.0,Susceptible
72407.2205,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66309,ciprofloxacin,4.0,Resistant,gentamicin,2.0,Susceptible,meropenem,16.0,Resistant
573.6769,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2584,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,8.0,Resistant
574.96,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2188,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66272,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66225,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66463,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2277,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,2.0,Susceptible
574.106,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2439,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2473,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2722,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2934,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2313,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,1.0,Susceptible
573.66241,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.25,Susceptible
72407.2642,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2476,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,2.0,Susceptible
72407.2478,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,1.0,Susceptible
72407.2333,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,8.0,Resistant
573.66453,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.65912,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66376,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66273,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66058,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
574.108,ciprofloxacin,0.25,Susceptible,gentamicin,8.0,Resistant,meropenem,8.0,Resistant
72407.2289,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66455,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.25,Susceptible
72407.2433,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2875,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2819,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2713,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2681,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66565,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.65985,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66362,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.65914,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2828,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66354,ciprofloxacin,4.0,Resistant,gentamicin,4.0,Resistant,meropenem,16.0,Resistant
72407.2534,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.67686,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2503,ciprofloxacin,4.0,Resistant,gentamicin,4.0,Resistant,meropenem,2.0,Susceptible
573.66378,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,4.0,Resistant
72407.287,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2826,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66524,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66445,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66442,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2861,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.217,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66264,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2746,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2592,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66251,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66262,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2633,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2348,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66457,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,0.25,Susceptible
573.66022,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65971,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2855,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2811,ciprofloxacin,1.0,Resistant,gentamicin,2.0,Susceptible,meropenem,8.0,Resistant
72407.2415,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66096,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2221,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2602,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66031,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2354,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2228,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2244,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2668,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2868,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.6644,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66411,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66029,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66306,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2832,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66551,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2877,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66556,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.283,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.231,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2795,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2919,ciprofloxacin,0.25,Susceptible,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2736,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.6641,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66401,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2922,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2587,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2574,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.67676,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2559,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66394,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2341,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,1.0,Susceptible
573.66215,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.241,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66405,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2424,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65962,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66522,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.249,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66292,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66555,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
574.84,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,4.0,Resistant
573.66341,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2916,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
574.85,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,4.0,Resistant
574.99,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,2.0,Susceptible
573.66065,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2267,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2755,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,2.0,Susceptible
573.66498,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2566,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,2.0,Susceptible
72407.2281,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.237,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.223,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2754,ciprofloxacin,1.0,Resistant,gentamicin,8.0,Resistant,meropenem,4.0,Resistant
573.6648,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66407,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.67698,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66291,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66426,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.6638,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.65945,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66584,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66448,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2606,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2326,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2915,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2251,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.56205,ciprofloxacin,2.0,Resistant,gentamicin,2.0,Susceptible,meropenem,1.0,Susceptible
573.66382,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
573.66443,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2612,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2507,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66321,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2369,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,4.0,Resistant
573.66015,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2659,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.65997,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66449,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2472,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66315,ciprofloxacin,4.0,Resistant,gentamicin,2.0,Susceptible,meropenem,16.0,Resistant
573.66539,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
573.66513,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2243,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2527,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2353,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2845,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2359,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.65986,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
72407.2223,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
574.113,ciprofloxacin,4.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66234,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2822,ciprofloxacin,2.0,Resistant,gentamicin,1.0,Susceptible,meropenem,1.0,Susceptible
72407.2266,ciprofloxacin,1.0,Resistant,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
573.66504,ciprofloxacin,4.0,Resistant,gentamicin,2.0,Susceptible,meropenem,16.0,Resistant
72407.2287,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
72407.2403,ciprofloxacin,4.0,Resistant,gentamicin,2.0,Susceptible,meropenem,8.0,Resistant
573.66489,ciprofloxacin,4.0,Resistant,gentamicin,16.0,Resistant,meropenem,16.0,Resistant
72407.2591,ciprofloxacin,2.0,Resistant,gentamicin,8.0,Resistant,meropenem,0.5,Susceptible
573.66268,ciprofloxacin,4.0,Resistant,gentamicin,1.0,Susceptible,meropenem,16.0,Resistant
72407.2361,ciprofloxacin,0.25,Susceptible,gentamicin,1.0,Susceptible,meropenem,0.5,Susceptible
