Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
72407.2825,0,0,0
72407.2502,1,0,0
573.66456,1,1,0
573.67685,0,0,0
573.65935,1,1,1
72407.2605,0,0,0
72407.2653,0,0,0
573.6609,1,0,0
72407.2821,1,0,0
72407.2928,1,0,0
72407.2829,0,0,0
573.65976,1,0,1
72407.2435,1,0,1
573.66213,1,0,0
574.102,1,0,0
573.65992,1,0,1
72407.246,1,0,0
72407.2741,1,0,0
72407.2544,1,0,1
72407.2379,1,0,1
573.6626,1,1,1
574.75,0,0,0
72407.2651,1,0,1
573.66037,0,0,0
573.66535,1,1,0
574.119,1,0,0
573.65939,0,0,0
72407.2852,1,0,0
72407.2295,1,0,0
72407.2382,1,0,0
573.66552,1,1,0
72407.2945,1,0,1
72407.2213,1,0,1
72407.2743,1,0,0
573.66259,1,1,1
72407.2293,1,0,0
72407.2838,1,0,0
72407.2823,1,0,0
72407.2296,1,0,0
573.66305,1,1,0
573.65951,0,0,0
72407.2679,0,0,0
573.66481,1,0,1
573.66008,1,0,0
573.66381,1,1,0
72407.2738,1,0,0
72407.2197,1,0,0
573.66244,1,1,0
573.66483,1,1,0
72407.2173,1,0,1
573.55251,1,1,1
573.65966,0,0,0
72407.2499,1,0,1
72407.2319,1,0,0
72407.2214,1,0,0
72407.245,1,0,1
72407.2363,1,1,1
573.66027,1,0,1
72407.2205,1,0,0
573.66309,1,1,0
573.6769,1,0,0
72407.2584,1,1,1
574.96,1,0,1
72407.2188,1,0,1
573.66272,1,1,1
573.66225,1,1,0
573.66463,1,1,1
72407.2277,1,0,0
574.106,1,0,0
72407.2439,1,0,1
72407.2473,1,0,0
72407.2722,1,0,1
72407.2934,0,0,0
72407.2313,0,0,0
573.66241,0,0,0
72407.2642,0,0,0
72407.2476,1,0,1
72407.2478,0,0,0
72407.2333,0,1,0
573.66453,1,1,0
573.65912,1,0,0
573.66376,1,1,0
573.66273,1,1,0
573.66058,0,0,0
574.108,0,1,1
72407.2289,0,0,0
573.66455,1,0,0
72407.2433,1,0,1
