,Importance
IncN,0.13405598477630626
IncR,0.09339977841634015
IncFII(K),0.0732262003743641
Col440I,0.07315266079710142
IncFIA(HI1),0.06937087204373472
IncFIB(K),0.056134640744809436
ColRNAI,0.0499255365802425
ColKP3,0.04757915433952109
IncL/M(pOXA-48),0.045289550729442185
IncX3,0.03990127930359393
IncFII,0.035681592037105664
ColpVC,0.03547262457251476
Col440II,0.02866623768618152
IncFII(pHN7A8),0.02538699790701975
IncFIB(pKPHS1),0.022876080674959068
IncL/M(pMU407),0.02219780173188126
IncHI1B,0.01688992626003876
IncL/M,0.014047029277493916
IncA/C2,0.011580053807351534
IncHI2,0.01096439282532997
IncQ1,0.01074739318697822
FIA(pBK30683),0.010511032709423797
IncHI2A,0.007763736976406406
IncI2,0.007186425330541483
IncP1,0.006595160392718908
IncFIB(pQil),0.006430204843149149
IncFII(Yp),0.00572009758440194
pSL483,0.005105311999636304
IncFII(pRSB107),0.004922545827900605
Col(BS512),0.004229774670363653
IncFIB(Mar),0.003366691805574744
FII(pBK30683),0.003347835505273744
IncX4,0.0031408113390966183
IncFIB(AP001918),0.0021064144437915855
IncFII(29),0.002001792499777012
IncFII(pKPX1),0.0017937385771257491
IncI1,0.001769459607435509
IncFIA,0.0014652902196380707
Col156,0.0009306097501248095
IncFIC(FII),0.0008419396391680908
Col(Ye4449),0.0007550306651329396
Col(MG828),0.0006658095136274297
Col(IRGK),0.0006087700209748967
IncU,0.000593683084703474
ColE10,0.0005495066529732949
IncB/O/K/Z,0.00040540780683373024
repA,0.00022679105614942317
Col(IMGS31),0.00016330376634275226
IncFII(pCRY),0.0001582129462378106
IncFII(S),4.527104412075573e-05
IncFII(pMET),3.7729920519904074e-05
IncFII(pCoo),1.5821728525277224e-05
Col(MGD2),0.0
IncFII(p14),0.0
