Genome_ID,Best_Hit_ARO,Contig,Start,Stop,Plasmid,Location_Type,Resistance Phenotype Gentamicin
573.66236,AAC(6')-Ib10,573.66236_6,4458,5063,Col440I,Plasmid,0
573.67372,sul1,573.67372_3,1303,2142,IncN,Plasmid,
573.67372,MCR-9.1,573.67372_2,656,2275,IncN,Plasmid,
72407.2351,dfrA14,72407.2351_2,1652,2125,IncFII(K),Plasmid,0
72407.2604,CTX-M-15,72407.2604_3,3222,4097,IncFIB(K),Plasmid,0
72407.2604,dfrA14,72407.2604_3,1652,2125,IncFII(K),Plasmid,0
72407.2604,tet(A),72407.2604_3,1685,2959,IncFII(K),Plasmid,0
72407.2604,OXA-1,72407.2604_2,777,1607,IncFII(K),Plasmid,0
573.66228,sul3,573.66228_5,3384,4175,IncN,Plasmid,1
573.66225,eptB,573.66225_2,2043,3716,IncN,Plasmid,0
573.66225,KPC-2,573.66225_4,4564,5445,IncR,Plasmid,0
573.66225,QnrB6,573.66225_2,1233,1913,IncN,Plasmid,0
573.66225,qacEdelta1,573.66225_1,39,386,IncN,Plasmid,0
573.66225,sul1,573.66225_2,380,1219,IncN,Plasmid,0
573.66225,dfrA12,573.66225_1,416,916,IncN,Plasmid,0
573.66508,tet(A),573.66508_3,3235,4434,IncFIB(K),Plasmid,1
573.66508,QnrS1,573.66508_5,3596,4252,IncFIB(K),Plasmid,1
573.66508,aadA,573.66508_4,3124,3939,ColRNAI,Plasmid,1
573.66508,dfrA14,573.66508_5,4014,4487,IncFIB(K),Plasmid,1
72407.2655,TEM-1,72407.2655_3,996,1856,IncFIA(HI1),Plasmid,1
72407.2655,APH(6)-Id,72407.2655_5,2577,3413,IncHI1B,Plasmid,1
72407.2655,armA,72407.2655_3,1309,2151,Col440I,Plasmid,1
72407.2655,arr-3,72407.2655_2,803,1255,IncFIA(HI1),Plasmid,1
72407.2655,AAC(3)-IId,72407.2655_2,855,1715,IncFIA(HI1),Plasmid,1
72407.2655,CTX-M-27,72407.2655_1,110,985,IncFIA(HI1),Plasmid,1
72407.2655,aadA5,72407.2655_1,57,845,IncFIA(HI1),Plasmid,1
72407.2655,sul1,72407.2655_1,25,864,IncFIA(HI1),Plasmid,1
72407.2655,qacEdelta1,72407.2655_2,858,1205,IncFIA(HI1),Plasmid,1
72407.2387,QnrB6,72407.2387_2,157,837,IncQ1,Plasmid,0
72407.2387,AAC(6')-Ib10,72407.2387_1,1,588,IncQ1,Plasmid,0
72407.2387,qacEdelta1,72407.2387_1,39,386,IncQ1,Plasmid,0
72407.2387,sul1,72407.2387_2,380,1219,IncQ1,Plasmid,0
72407.2387,aadA16,72407.2387_1,79,912,IncQ1,Plasmid,0
72407.2836,SHV-2,72407.2836_3,1145,2005,IncN,Plasmid,1
72407.2836,LAP-2,72407.2836_2,1437,2294,IncN,Plasmid,1
72407.2836,QnrS1,72407.2836_2,749,1405,IncN,Plasmid,1
573.66242,KPC-2,573.66242_4,4564,5445,IncFIB(K),Plasmid,0
573.66242,dfrA12,573.66242_1,416,922,IncN,Plasmid,0
573.66242,arr-3,573.66242_1,3,491,IncN,Plasmid,0
72407.2214,dfrA14,72407.2214_3,1651,2124,IncFII(K),Plasmid,0
72407.2274,adeF,72407.2274_2,1161,4271,IncFIB(K),Plasmid,1
72407.2274,QnrS1,72407.2274_5,3892,4548,IncFIB(K),Plasmid,1
72407.2268,tet(A),72407.2268_7,4541,5740,IncFIB(K),Plasmid,0
72407.2268,QnrS1,72407.2268_5,3891,4547,IncFIB(K),Plasmid,0
573.66334,BRP(MBL),573.66334_7,6332,6697,IncFIB(K),Plasmid,1
573.66334,NDM-1,573.66334_8,6701,7513,IncFIB(K),Plasmid,1
573.66334,sul2,573.66334_4,2274,3089,IncFII,Plasmid,1
573.66334,AAC(6')-Ib10,573.66334_1,2,646,IncN,Plasmid,1
573.66334,rmtB,573.66334_1,63,818,IncN,Plasmid,1
573.66334,TEM-239,573.66334_1,24,764,IncN,Plasmid,1
72407.2317,adeF,72407.2317_2,831,3941,IncN,Plasmid,0
72407.265,rsmA,72407.265_1,498,683,IncN,Plasmid,0
72407.265,AAC(6')-Ib10,72407.265_2,321,926,IncN,Plasmid,0
72407.265,aadA2,72407.265_1,2,784,IncN,Plasmid,0
573.66409,ArnT,573.66409_21,19529,21184,IncHI2A,Plasmid,1
573.66409,floR,573.66409_2,327,1541,IncN,Plasmid,1
573.66409,AAC(6')-Ib10,573.66409_1,1,588,IncL/M(pMU407),Plasmid,1
573.66409,arr-3,573.66409_2,685,1137,IncN,Plasmid,1
573.66409,APH(6)-Id,573.66409_1,281,1111,IncN,Plasmid,1
573.66409,APH(3')-Ia,573.66409_1,242,1057,IncN,Plasmid,1
72407.2751,qacEdelta1,72407.2751_32,22018,22365,IncFII,Plasmid,0
72407.2571,adeF,72407.2571_2,1161,4271,IncFIB(K),Plasmid,1
72407.2571,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2571_23,21974,22408,IncFII,Plasmid,1
72407.2502,dfrA14,72407.2502_3,1652,2125,IncFII(K),Plasmid,0
72407.2502,AAC(6')-Ib10,72407.2502_1,2,646,IncN,Plasmid,0
72407.2502,baeR,72407.2502_1,161,883,IncFII(K),Plasmid,0
72407.2245,CTX-M-15,72407.2245_3,1539,2414,Col440II,Plasmid,1
72407.2245,dfrA14,72407.2245_2,1579,2061,Col440II,Plasmid,1
574.85,sul2,574.85_2,705,1520,IncHI1B,Plasmid,0
574.85,APH(6)-Id,574.85_2,2619,3455,IncL/M(pMU407),Plasmid,0
574.85,tet(D),574.85_3,1642,2826,IncL/M(pMU407),Plasmid,0
574.85,AAC(6')-IIc,574.85_2,638,1219,IncHI1B,Plasmid,0
574.85,catA1,574.85_1,155,814,IncHI1B,Plasmid,0
72407.2201,oqxA,72407.2201_6,3814,4989,IncFIB(K),Plasmid,1
72407.2201,sul2,72407.2201_2,423,1238,IncFIB(pKPHS1),Plasmid,1
72407.2201,TEM-1,72407.2201_6,3659,4519,IncFIB(K),Plasmid,1
72407.2819,Klebsiella pneumoniae KpnE,72407.2819_13,13773,14135,IncFII,Plasmid,0
72407.2819,Klebsiella pneumoniae KpnF,72407.2819_14,14122,14451,IncFII,Plasmid,0
72407.2819,TEM-1,72407.2819_5,3204,4064,IncFIB(K),Plasmid,0
573.66309,mphA,573.66309_1,70,975,Col440I,Plasmid,0
573.66341,adeF,573.66341_2,1157,4267,IncFIB(K),Plasmid,1
573.66341,aadA16,573.66341_5,2248,3093,IncFIA(HI1),Plasmid,1
573.66341,arr-3,573.66341_7,3880,4332,IncFIB(K),Plasmid,1
573.66341,catA1,573.66341_3,3442,4101,IncFIB(K),Plasmid,1
573.66341,APH(6)-Id,573.66341_3,1187,2023,Col(BS512),Plasmid,1
573.66341,Mrx,573.66341_2,972,2210,IncFIA(HI1),Plasmid,1
573.66341,aadA,573.66341_3,1083,1871,Col(BS512),Plasmid,1
573.65941,CTX-M-2,573.65941_6,2287,3162,IncFIB(K),Plasmid,0
72407.2802,dfrA27,72407.2802_2,1032,1505,IncFII(K),Plasmid,0
72407.2802,CTX-M-24,72407.2802_2,1699,2574,IncFII(K),Plasmid,0
72407.2802,sul1,72407.2802_1,199,1038,IncFII(K),Plasmid,0
574.84,tet(D),574.84_2,701,1885,IncHI1B,Plasmid,0
574.84,qacL,574.84_3,1730,2062,IncHI1B,Plasmid,0
72407.2545,LptD,72407.2545_4,3319,5667,IncFII,Plasmid,0
72407.2545,eptB,72407.2545_2,1803,3476,IncFII,Plasmid,0
72407.2545,tet(A),72407.2545_2,672,1871,IncN,Plasmid,0
573.66072,eptB,573.66072_2,1767,3440,IncFII(pRSB107),Plasmid,0
573.66072,sul1,573.66072_9,6286,7125,IncFIB(AP001918),Plasmid,0
573.66072,tet(A),573.66072_5,3811,5010,IncFIA,Plasmid,0
72407.2857,sul2,72407.2857_6,4286,5101,IncFIB(K),Plasmid,0
573.66025,marA,573.66025_4,928,1302,IncFIA(HI1),Plasmid,1
573.66025,TEM-1,573.66025_3,996,1856,IncFIA(HI1),Plasmid,1
573.66025,APH(6)-Id,573.66025_5,2577,3413,IncHI1B,Plasmid,1
573.66025,aadA16,573.66025_1,6,851,IncFIA(HI1),Plasmid,1
573.66025,dfrA27,573.66025_2,1032,1505,IncFIA(HI1),Plasmid,1
573.66025,AAC(3)-IId,573.66025_2,855,1715,IncFIA(HI1),Plasmid,1
573.66025,dfrA1,573.66025_1,356,829,IncFIA(HI1),Plasmid,1
573.66025,QnrB6,573.66025_2,157,837,IncFIA(HI1),Plasmid,1
573.66025,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66025_3,473,907,IncFIA(HI1),Plasmid,1
573.67362,tet(B),573.67362_5,2000,3205,ColKP3,Plasmid,
573.67362,Mrx,573.67362_3,1900,3138,ColKP3,Plasmid,
573.67362,mphA,573.67362_4,3135,4040,ColKP3,Plasmid,
573.67362,rmtB,573.67362_1,23,778,Col440II,Plasmid,
72407.2294,qacEdelta1,72407.2294_31,21771,22118,IncFII,Plasmid,1
72407.2294,sul1,72407.2294_32,22112,22951,IncFII,Plasmid,1
573.66349,mphA,573.66349_4,3194,4099,IncFIB(K),Plasmid,1
573.66349,CTX-M-15,573.66349_3,2638,3513,IncFIB(pKPHS1),Plasmid,1
573.66497,sul2,573.66497_2,411,1226,IncFIA(HI1),Plasmid,1
573.66497,APH(3'')-Ib,573.66497_3,1287,2090,IncN,Plasmid,1
573.66497,tet(D),573.66497_3,1642,2826,IncN,Plasmid,1
573.66497,qacEdelta1,573.66497_2,951,1298,IncN,Plasmid,1
573.66497,sul1,573.66497_3,1292,2131,IncN,Plasmid,1
573.66497,AAC(3)-IId,573.66497_2,702,1562,IncN,Plasmid,1
573.66497,dfrA27,573.66497_1,128,601,IncFIA(HI1),Plasmid,1
573.66497,arr-3,573.66497_2,734,1186,IncFIA(HI1),Plasmid,1
573.66497,AAC(6')-Ib10,573.66497_3,1283,1870,IncN,Plasmid,1
573.66046,marA,573.66046_4,1381,1755,FII(pBK30683),Plasmid,0
72407.2511,Mrx,72407.2511_2,972,2210,IncFII(K),Plasmid,1
72407.2735,aadA16,72407.2735_1,1,834,IncFIA(HI1),Plasmid,1
72407.2735,qacEdelta1,72407.2735_2,951,1298,Col440I,Plasmid,1
72407.2735,APH(6)-Id,72407.2735_1,106,942,IncFIA(HI1),Plasmid,1
72407.2735,arr-3,72407.2735_2,676,1128,IncFIA(HI1),Plasmid,1
573.66358,Klebsiella pneumoniae KpnF,573.66358_22,20983,21312,IncFIB(K),Plasmid,1
