Genome_ID,Best_Hit_ARO,Contig,Start,Stop
573.66236,acrD,573.66236_108,120683,123796
573.66236,MdtQ,573.66236_331,377861,379300
573.66236,mdtC,573.66236_378,431604,434681
573.66236,mdtB,573.66236_379,434682,437804
573.66236,Escherichia coli mdfA,573.66236_239,262439,263671
573.66236,msbA,573.66236_308,343052,344800
573.66236,OmpA,573.66236_348,394161,395231
573.66236,eptB,573.66236_158,165068,166741
573.66236,PmrF,573.66236_215,241232,242215
573.66236,ArnT,573.66236_218,245096,246751
573.66236,CRP,573.66236_319,356349,356981
573.66236,fosA5,573.66236_12,13920,14339
573.66236,LptD,573.66236_161,167592,169940
573.66236,leuO,573.66236_191,208471,209421
573.66236,vanG,573.66236_38,38608,39705
573.66236,acrB,573.66236_159,160195,163341
573.66236,Shigella flexneri acrA,573.66236_160,163364,164557
573.66236,oqxA,573.66236_12,11438,12613
573.66236,oqxB,573.66236_13,12637,15789
573.66236,emrR,573.66236_58,60046,60576
573.66236,Klebsiella pneumoniae KpnG,573.66236_59,60702,61874
573.66236,Klebsiella pneumoniae KpnH,573.66236_60,61890,63428
573.66236,rsmA,573.66236_68,71288,71473
573.66236,Klebsiella pneumoniae OmpK37,573.66236_169,178921,180075
573.66236,marA,573.66236_20,20030,20404
573.66236,Klebsiella pneumoniae KpnF,573.66236_39,36477,36806
573.66236,Klebsiella pneumoniae KpnE,573.66236_40,36793,37155
573.66236,AAC(6')-Ib10,573.66236_6,4458,5063
573.66236,aadA,573.66236_7,5145,5921
573.66236,BRP(MBL),573.66236_7,6331,6696
573.66236,NDM-4,573.66236_8,6700,7512
573.66236,SHV-12,573.66236_1,74,934
573.66236,baeR,573.66236_375,427993,428715
573.66236,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66236_21,20425,20859
573.66457,Klebsiella pneumoniae OmpK37,573.66457_39,37567,38721
573.66457,Klebsiella pneumoniae KpnE,573.66457_152,165421,165783
573.66457,Klebsiella pneumoniae KpnF,573.66457_153,165770,166099
573.66457,SHV-28,573.66457_195,206123,206983
573.66457,marA,573.66457_215,227086,227460
