isolate,start,end
72407.2546.con.0003|provirus_198056_249075,198056,249075
72407.2546.con.0020|provirus_55999_67740,55999,67740
72407.2813.con.0009|provirus_193409_201203,193409,201203
72407.2813.con.0017|provirus_53_10841,53,10841
72407.2813.con.0014|provirus_2_28080,2,28080
72407.2813.con.0029|provirus_2_13168,2,13168
72407.2813.con.0020|provirus_82895_93096,82895,93096
72407.2813.con.0006|provirus_2_15405,2,15405
72407.2874.con.0005|provirus_178740_228680,178740,228680
72407.2874.con.0001|provirus_136634_181776,136634,181776
72407.2187.con.0004|provirus_23807_69876,23807,69876
72407.2187.con.0037|provirus_6532_33002,6532,33002
72407.2187.con.0030|provirus_42355_54489,42355,54489
72407.2187.con.0026|provirus_1_14714,1,14714
72407.2187.con.0005|provirus_40873_63331,40873,63331
72407.2867.con.0013|provirus_998_48229,998,48229
72407.2867.con.0006|provirus_244988_290130,244988,290130
72407.2574.con.0020|provirus_77444_116553,77444,116553
72407.2574.con.0026|provirus_72949_78716,72949,78716
72407.2574.con.0009|provirus_2_47185,2,47185
72407.2574.con.0035|provirus_27603_57643,27603,57643
72407.2574.con.0021|provirus_326_55927,326,55927
72407.2574.con.0006|provirus_206648_219185,206648,219185
72407.2387.con.0006|provirus_82000_125821,82000,125821
72407.2387.con.0042|provirus_18782_28469,18782,28469
72407.2602.con.0002|provirus_375703_395193,375703,395193
72407.2602.con.0005|provirus_136404_150296,136404,150296
72407.2778.con.0002|provirus_414801_451365,414801,451365
72407.2778.con.0004|provirus_19421_73562,19421,73562
72407.2863.con.0002|provirus_178739_228687,178739,228687
72407.2863.con.0011|provirus_23221_68363,23221,68363
72407.243.con.0012|provirus_130580_154594,130580,154594
72407.243.con.0007|provirus_90348_134407,90348,134407
72407.243.con.0001|provirus_2_15804,2,15804
72407.243.con.0003|provirus_260001_276104,260001,276104
573.66342.con.0022|provirus_1_34504,1,34504
573.66342.con.0012|provirus_235_33241,235,33241
573.66342.con.0018|provirus_86999_96972,86999,96972
573.66342.con.0005|provirus_1_12799,1,12799
573.66342.con.0020|provirus_2_7763,2,7763
573.66342.con.0023|provirus_39_30145,39,30145
573.66342.con.0007|provirus_209356_230759,209356,230759
573.66342.con.0015|provirus_168_14219,168,14219
573.66342.con.0007|provirus_6548_22651,6548,22651
573.66342.con.0002|provirus_2_11733,2,11733
573.66342.con.0002|provirus_364412_379189,364412,379189
72407.2684.con.0032|provirus_51_8147,51,8147
72407.2684.con.0031|provirus_1_30271,1,30271
72407.2684.con.0039|provirus_23715_44997,23715,44997
72407.2684.con.0023|provirus_59942_73823,59942,73823
72407.2684.con.0053|provirus_1_25465,1,25465
72407.2684.con.0069|provirus_10766_24581,10766,24581
72407.2684.con.0028|provirus_13353_27036,13353,27036
574.82.con.0014|provirus_133470_164391,133470,164391
574.82.con.0023|provirus_22216_60824,22216,60824
72407.2586.con.0007|provirus_268225_304269,268225,304269
72407.2586.con.0001|provirus_196223_240195,196223,240195
72407.2653.con.0006|provirus_30685_80721,30685,80721
72407.2653.con.0007|provirus_205556_238582,205556,238582
72407.2653.con.0009|provirus_192997_248426,192997,248426
72407.2638.con.0009|provirus_214152_242372,214152,242372
72407.2638.con.0008|provirus_256637_276787,256637,276787
72407.2638.con.0005|provirus_39_29370,39,29370
72407.2638.con.0025|provirus_26554_51464,26554,51464
573.65987.con.0008|provirus_196222_234725,196222,234725
573.65987.con.0005|provirus_268209_276975,268209,276975
573.65987.con.0028|provirus_55574_68292,55574,68292
573.66505.con.0022|provirus_24529_81594,24529,81594
573.66033.con.0023|provirus_2_41027,2,41027
573.66033.con.0006|provirus_248926_262354,248926,262354
573.66393.con.0025|provirus_1_8118,1,8118
573.66393.con.0015|provirus_20_32470,20,32470
573.66393.con.0001|provirus_266750_313865,266750,313865
573.66283.con.0014|provirus_20_32470,20,32470
573.66283.con.0001|provirus_430840_477955,430840,477955
573.66283.con.0023|provirus_17513_25630,17513,25630
72407.2394.con.0006|provirus_282646_328139,282646,328139
72407.2408.con.0018|provirus_72573_98909,72573,98909
72407.2408.con.0012|provirus_30590_80235,30590,80235
72407.2408.con.0006|provirus_219428_260022,219428,260022
72407.2408.con.0011|provirus_1_3083,1,3083
573.65979.con.0001|provirus_2_32281,2,32281
573.65979.con.0006|provirus_284772_295036,284772,295036
573.65979.con.0024|provirus_19305_57461,19305,57461
573.65979.con.0018|provirus_92623_101907,92623,101907
573.66344.con.0006|provirus_3_16313,3,16313
573.66344.con.0008|provirus_282998_329062,282998,329062
573.66344.con.0010|provirus_196196_216055,196196,216055
573.66344.con.0003|provirus_42171_81246,42171,81246
573.66344.con.0006|provirus_355036_371321,355036,371321
573.66344.con.0008|provirus_56360_67232,56360,67232
573.66405.con.0008|provirus_282998_299117,282998,299117
573.66405.con.0006|provirus_353913_371214,353913,371214
573.66405.con.0011|provirus_196196_215953,196196,215953
573.66405.con.0003|provirus_42171_81246,42171,81246
573.66405.con.0012|provirus_113481_116668,113481,116668
573.66405.con.0008|provirus_56360_67232,56360,67232
573.66405.con.0006|provirus_2_16287,2,16287
